munic,prov,num_certificados,fec_emision_avg,fec_expira_avg,emision_co_avg,consumo_ener_avg,anio_avg,latitud_avg,longitud_avg,clasificacion_emisiones_A_pct,clasificacion_emisiones_B_pct,clasificacion_emisiones_C_pct,clasificacion_emisiones_D_pct,clasificacion_emisiones_E_pct,clasificacion_emisiones_F_pct,clasificacion_emisiones_G_pct,clasificacion_consumo_A_pct,clasificacion_consumo_B_pct,clasificacion_consumo_C_pct,clasificacion_consumo_D_pct,clasificacion_consumo_E_pct,clasificacion_consumo_F_pct,clasificacion_consumo_G_pct,estadoedi_Existente_pct,estadoedi_Obra Terminada_pct,estadoedi_Proyecto Nueva Construcción_pct,estadoedi_Proyecto Reforma_pct,tipoedi_Bloque completo_pct,tipoedi_Bloque: Vivienda individual_pct,tipoedi_Edificio completo_pct,tipoedi_Local_pct,tipoedi_Unifamiliar_pct
AINZON,ZARAGOZA,110,2021-10-22,2031-06-20,55.74527272727272,258.6770909090909,1950,41.81595306178138,-1.5213465679956903,3.6363636363636362,1.8181818181818181,10.0,12.727272727272727,56.36363636363636,7.2727272727272725,8.181818181818182,1.8181818181818181,2.727272727272727,8.181818181818182,15.454545454545453,48.18181818181818,11.818181818181818,11.818181818181818,98.18181818181819,0.0,1.8181818181818181,0.0,4.545454545454546,27.27272727272727,1.8181818181818181,5.454545454545454,60.909090909090914
AISA,HUESCA,591,2021-05-11,2032-01-19,45.174433164128594,223.60167512690356,1981,42.78379588141153,-0.5327774842984108,21.31979695431472,0.5076142131979695,0.8460236886632826,32.31810490693739,28.76480541455161,11.16751269035533,5.0761421319796955,0.338409475465313,21.31979695431472,1.353637901861252,28.934010152284262,29.441624365482234,7.2758037225042305,11.336717428087987,99.83079526226734,0.0,0.1692047377326565,0.0,57.52961082910322,37.055837563451774,0.338409475465313,1.8612521150592216,3.2148900169204735
ALACON,TERUEL,27,2024-04-25,2033-05-22,57.68962962962963,279.8744444444444,1951,41.022541862859285,-0.697788278089591,0.0,3.7037037037037033,0.0,22.22222222222222,44.44444444444444,11.11111111111111,18.51851851851852,0.0,3.7037037037037033,0.0,7.4074074074074066,44.44444444444444,25.925925925925924,18.51851851851852,100.0,0.0,0.0,0.0,0.0,22.22222222222222,3.7037037037037033,0.0,74.07407407407408
ALADREN,ZARAGOZA,4,2022-08-11,2032-08-10,49.5725,240.26749999999998,1944,41.24923006800582,-1.155775160383735,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALAGON,ZARAGOZA,919,2020-12-23,2030-10-29,54.08667029379761,264.421316648531,1979,41.76934910809207,-1.1196386213842244,3.264417845484222,2.2850924918389555,5.331882480957562,16.2132752992383,55.49510337323177,12.078346028291621,5.331882480957562,2.9379760609358,1.8498367791077257,4.787812840043525,11.099020674646356,57.671381936887926,11.31664853101197,10.337323177366702,98.91186071817192,0.6528835690968444,0.4352557127312296,0.0,10.119695321001087,52.23068552774755,1.958650707290533,4.134929270946682,31.556039173014145
ALARBA,ZARAGOZA,2,2020-06-20,2030-09-10,51.989999999999995,207.62,1971,41.204966232049685,-1.6136491769196786,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALBA DEL CAMPO,TERUEL,9,2023-07-05,2032-02-22,62.90222222222222,266.4288888888889,1968,40.61824645890449,-1.3453092774951763,0.0,0.0,22.22222222222222,11.11111111111111,33.33333333333333,0.0,33.33333333333333,0.0,0.0,22.22222222222222,0.0,33.33333333333333,22.22222222222222,22.22222222222222,100.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666
ALBALATE DEL ARZOBISPO,TERUEL,186,2022-01-16,2031-10-02,52.4755376344086,275.666935483871,1941,41.121219545791725,-0.5113891779061324,3.225806451612903,0.5376344086021506,5.376344086021505,13.440860215053762,60.752688172043015,10.21505376344086,6.451612903225806,3.225806451612903,0.5376344086021506,2.6881720430107525,8.60215053763441,51.61290322580645,16.129032258064516,17.20430107526882,96.7741935483871,1.6129032258064515,1.6129032258064515,0.0,15.591397849462366,19.892473118279568,1.0752688172043012,3.225806451612903,60.215053763440864
ALBALATILLO,HUESCA,19,2023-01-04,2031-12-15,84.17684210526316,380.7684210526316,1968,41.73722315083047,-0.15122284528278387,0.0,0.0,0.0,10.526315789473683,31.57894736842105,36.84210526315789,21.052631578947366,0.0,0.0,0.0,10.526315789473683,36.84210526315789,36.84210526315789,15.789473684210526,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALBARRACIN,TERUEL,84,2022-07-28,2032-03-07,51.97119047619047,244.1847619047619,1971,40.40986341245658,-1.4375889421913857,14.285714285714285,4.761904761904762,1.1904761904761905,10.714285714285714,46.42857142857143,9.523809523809524,13.095238095238097,9.523809523809524,8.333333333333332,3.571428571428571,3.571428571428571,50.0,7.142857142857142,17.857142857142858,90.47619047619048,2.380952380952381,7.142857142857142,0.0,14.285714285714285,36.904761904761905,5.952380952380952,2.380952380952381,40.476190476190474
ALBENTOSA,TERUEL,35,2022-08-21,2032-07-17,40.66657142857142,194.78457142857144,1956,40.10192322703278,-0.7633265806541232,2.857142857142857,5.714285714285714,22.857142857142858,17.142857142857142,51.42857142857142,0.0,0.0,0.0,8.571428571428571,14.285714285714285,20.0,48.57142857142857,5.714285714285714,2.857142857142857,97.14285714285714,0.0,0.0,2.857142857142857,0.0,8.571428571428571,17.142857142857142,14.285714285714285,60.0
ALBERITE DE SAN JUAN,ZARAGOZA,13,2022-04-25,2032-04-24,61.431538461538466,326.3015384615385,1946,41.820233322578524,-1.4710315729067922,7.6923076923076925,0.0,0.0,0.0,84.61538461538461,7.6923076923076925,0.0,7.6923076923076925,0.0,0.0,0.0,46.15384615384615,46.15384615384615,0.0,92.3076923076923,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,100.0
ALBERO ALTO,HUESCA,7,2022-06-14,2032-06-13,54.22571428571428,235.83142857142857,1995,42.050448690260964,-0.3384077552973501,28.57142857142857,0.0,0.0,0.0,42.857142857142854,28.57142857142857,0.0,14.285714285714285,14.285714285714285,0.0,28.57142857142857,28.57142857142857,14.285714285714285,0.0,85.71428571428571,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,100.0
ALBERO BAJO,HUESCA,7,2021-06-06,2030-09-26,65.30714285714285,313.8971428571428,1976,42.024204072274436,-0.3804434200488466,14.285714285714285,14.285714285714285,0.0,0.0,28.57142857142857,28.57142857142857,14.285714285714285,0.0,28.57142857142857,0.0,0.0,14.285714285714285,42.857142857142854,14.285714285714285,100.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,85.71428571428571
ALBERUELA DE TUBO,HUESCA,7,2023-01-08,2032-04-22,84.59714285714286,354.90285714285716,1972,41.897988779751536,-0.23713001288924346,0.0,0.0,0.0,0.0,42.857142857142854,42.857142857142854,14.285714285714285,0.0,0.0,0.0,0.0,71.42857142857143,28.57142857142857,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALBETA,ZARAGOZA,9,2021-11-15,2032-05-16,64.55555555555556,281.4566666666667,1938,41.82704084511952,-1.5006129969156925,0.0,0.0,22.22222222222222,11.11111111111111,11.11111111111111,55.55555555555556,0.0,0.0,0.0,11.11111111111111,11.11111111111111,55.55555555555556,11.11111111111111,11.11111111111111,100.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,77.77777777777779
ALBORGE,ZARAGOZA,16,2022-01-26,2032-07-06,54.559375,285.21750000000003,1935,41.33457755049658,-0.3574213084903521,0.0,6.25,6.25,18.75,56.25,6.25,6.25,0.0,6.25,0.0,25.0,50.0,12.5,6.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALCAINE,TERUEL,11,2022-12-01,2032-12-01,34.70545454545454,167.28272727272727,1943,40.9530379348967,-0.7049343418681601,0.0,0.0,36.36363636363637,18.181818181818183,45.45454545454545,0.0,0.0,0.0,9.090909090909092,9.090909090909092,36.36363636363637,36.36363636363637,9.090909090909092,0.0,90.9090909090909,0.0,9.090909090909092,0.0,0.0,9.090909090909092,18.181818181818183,18.181818181818183,54.54545454545454
ALCALA DE EBRO,ZARAGOZA,23,2022-06-12,2032-03-29,49.06652173913044,226.7613043478261,1967,41.81389511997506,-1.195085235651662,8.695652173913043,0.0,4.3478260869565215,26.08695652173913,52.17391304347826,4.3478260869565215,4.3478260869565215,8.695652173913043,0.0,4.3478260869565215,30.434782608695656,47.82608695652174,4.3478260869565215,4.3478260869565215,100.0,0.0,0.0,0.0,0.0,21.73913043478261,4.3478260869565215,0.0,73.91304347826086
ALCALA DE GURREA,HUESCA,18,2022-07-24,2031-11-05,71.90722222222222,344.25388888888887,1977,42.07562168147451,-0.6848931483578331,5.555555555555555,11.11111111111111,0.0,0.0,44.44444444444444,22.22222222222222,16.666666666666664,5.555555555555555,11.11111111111111,0.0,5.555555555555555,22.22222222222222,22.22222222222222,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,88.88888888888889
ALCALA DE LA SELVA,TERUEL,344,2021-04-08,2031-01-12,43.17723837209302,225.16700581395347,1989,40.362314569897656,-0.70205726672874,1.744186046511628,1.1627906976744187,7.848837209302325,28.197674418604652,50.0,6.104651162790697,4.941860465116279,1.1627906976744187,1.1627906976744187,5.813953488372093,15.406976744186046,53.48837209302325,9.883720930232558,13.08139534883721,99.4186046511628,0.5813953488372093,0.0,0.0,0.5813953488372093,65.98837209302324,0.872093023255814,0.872093023255814,31.686046511627907
ALCALA DE MONCAYO,ZARAGOZA,21,2022-01-10,2031-07-20,67.13761904761905,323.96190476190475,1974,41.78570723848001,-1.6959781149360982,0.0,0.0,4.761904761904762,38.095238095238095,52.38095238095239,0.0,4.761904761904762,0.0,0.0,4.761904761904762,23.809523809523807,52.38095238095239,9.523809523809524,9.523809523809524,100.0,0.0,0.0,0.0,0.0,14.285714285714285,9.523809523809524,0.0,76.19047619047619
ALCALA DEL OBISPO,HUESCA,38,2022-07-02,2032-03-05,68.34842105263158,305.9836842105263,1973,42.07471963216342,-0.2775062036130646,10.526315789473683,0.0,7.894736842105263,2.631578947368421,44.73684210526316,23.684210526315788,10.526315789473683,10.526315789473683,0.0,5.263157894736842,7.894736842105263,50.0,10.526315789473683,15.789473684210526,97.36842105263158,0.0,2.631578947368421,0.0,0.0,2.631578947368421,7.894736842105263,0.0,89.47368421052632
ALCAÑIZ,TERUEL,1699,2021-04-06,2031-01-16,42.58604473219541,213.79686874632137,1981,41.05053285734095,-0.13420751564844663,2.2954679223072394,2.766333137139494,7.416127133608005,12.477928193054739,58.56386109476163,8.298999411418482,8.181283107710417,1.9423190111830488,2.1188934667451442,4.7086521483225425,11.24190700412007,49.61742201294879,11.830488522660389,18.540317834020012,98.7051206592113,0.5297233666862861,0.7062978222483813,0.05885815185403178,5.356091818716893,68.68746321365509,1.2948793407886992,9.829311359623308,14.83225426721601
ALCONCHEL DE ARIZA,ZARAGOZA,7,2024-12-17,2034-03-31,67.09142857142857,340.20142857142855,1944,41.20424922189055,-2.1220888674074674,0.0,0.0,0.0,14.285714285714285,57.14285714285714,28.57142857142857,0.0,0.0,0.0,0.0,0.0,71.42857142857143,14.285714285714285,14.285714285714285,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALCORISA,TERUEL,307,2022-06-24,2032-01-24,52.54019543973941,456.6611074918566,1975,40.892592502491325,-0.38251038349835303,1.3029315960912053,1.6286644951140066,5.211726384364821,10.097719869706841,62.21498371335505,8.794788273615636,10.749185667752444,1.6286644951140066,1.6286644951140066,2.9315960912052117,7.491856677524431,56.67752442996743,12.052117263843648,17.58957654723127,100.0,0.0,0.0,0.0,1.6286644951140066,57.98045602605863,1.3029315960912053,3.5830618892508146,35.50488599348534
ALCUBIERRE,HUESCA,25,2022-08-17,2032-05-08,66.282,294.6948,1934,41.806866610135906,-0.45234494116446733,4.0,0.0,4.0,8.0,60.0,16.0,8.0,4.0,0.0,4.0,12.0,60.0,20.0,0.0,96.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,92.0
ALDEHUELA DE LIESTOS,ZARAGOZA,2,2023-05-13,2033-05-16,38.64,167.315,1995,41.063954457149386,-1.7002596283979792,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALERRE,HUESCA,23,2021-05-10,2030-12-21,68.22652173913043,333.86782608695654,1987,42.163146514651196,-0.46192101239641953,4.3478260869565215,4.3478260869565215,0.0,17.391304347826086,30.434782608695656,34.78260869565217,8.695652173913043,4.3478260869565215,4.3478260869565215,4.3478260869565215,4.3478260869565215,56.52173913043478,4.3478260869565215,21.73913043478261,95.65217391304348,0.0,4.3478260869565215,0.0,0.0,8.695652173913043,0.0,4.3478260869565215,86.95652173913044
ALFAJARIN,ZARAGOZA,341,2021-11-28,2032-02-04,51.3407917888563,228.78510263929618,1990,41.60720954105048,-0.7006181680036673,12.316715542521994,6.451612903225806,10.557184750733137,26.392961876832842,31.964809384164223,5.278592375366569,7.038123167155426,11.436950146627565,4.9853372434017595,9.67741935483871,23.46041055718475,37.24340175953079,7.331378299120235,5.865102639296188,97.94721407624634,0.2932551319648094,1.1730205278592376,0.5865102639296188,0.0,7.624633431085044,4.398826979472141,2.346041055718475,85.63049853372434
ALFAMBRA,TERUEL,28,2022-12-30,2032-08-16,69.71964285714286,298.17749999999995,1966,40.54648426552013,-1.0329861058557455,3.571428571428571,0.0,7.142857142857142,14.285714285714285,32.142857142857146,14.285714285714285,28.57142857142857,3.571428571428571,0.0,7.142857142857142,10.714285714285714,28.57142857142857,21.428571428571427,28.57142857142857,96.42857142857143,0.0,3.571428571428571,0.0,10.714285714285714,17.857142857142858,10.714285714285714,3.571428571428571,57.14285714285714
ALFAMEN,ZARAGOZA,93,2022-10-25,2033-02-02,69.10419354838709,309.0068817204301,1975,41.43881307184183,-1.2434196587936046,6.451612903225806,5.376344086021505,9.67741935483871,10.75268817204301,49.46236559139785,12.903225806451612,5.376344086021505,5.376344086021505,4.301075268817205,7.526881720430108,17.20430107526882,46.236559139784944,15.053763440860216,4.301075268817205,96.7741935483871,1.0752688172043012,2.1505376344086025,0.0,2.1505376344086025,4.301075268817205,4.301075268817205,0.0,89.24731182795699
ALFORQUE,ZARAGOZA,12,2021-04-11,2031-04-11,46.399166666666666,221.11833333333334,1952,41.329601713145195,-0.38497938886945066,0.0,0.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,16.666666666666664,25.0,41.66666666666667,16.666666666666664,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALHAMA DE ARAGON,ZARAGOZA,62,2022-02-11,2031-11-25,76.26790322580645,296.5146774193548,1966,41.29640517802433,-1.8933098944158058,4.838709677419355,1.6129032258064515,8.064516129032258,8.064516129032258,46.774193548387096,20.967741935483872,9.67741935483871,4.838709677419355,0.0,9.67741935483871,6.451612903225806,41.935483870967744,24.193548387096776,12.903225806451612,100.0,0.0,0.0,0.0,3.225806451612903,41.935483870967744,3.225806451612903,8.064516129032258,43.54838709677419
ALIAGA,TERUEL,23,2021-10-25,2031-09-26,52.72521739130435,245.5878260869565,1962,40.681451897463646,-0.6983914322593773,4.3478260869565215,13.043478260869565,4.3478260869565215,13.043478260869565,39.130434782608695,8.695652173913043,17.391304347826086,4.3478260869565215,4.3478260869565215,8.695652173913043,8.695652173913043,43.47826086956522,13.043478260869565,17.391304347826086,95.65217391304348,4.3478260869565215,0.0,0.0,4.3478260869565215,39.130434782608695,0.0,0.0,56.52173913043478
ALLEPUZ,TERUEL,10,2023-07-10,2033-07-10,38.558,190.28500000000003,1958,40.489583775075616,-0.7193250699180697,0.0,10.0,20.0,20.0,50.0,0.0,0.0,0.0,10.0,20.0,30.0,30.0,10.0,0.0,100.0,0.0,0.0,0.0,10.0,10.0,20.0,0.0,60.0
ALLOZA,TERUEL,86,2022-10-17,2032-03-29,47.638837209302324,229.30872093023254,1942,40.96841948482454,-0.529242145580698,4.651162790697675,8.13953488372093,8.13953488372093,11.627906976744185,50.0,6.976744186046512,10.465116279069768,6.976744186046512,4.651162790697675,8.13953488372093,9.30232558139535,41.86046511627907,15.11627906976744,13.953488372093023,98.83720930232558,0.0,1.1627906976744187,0.0,0.0,18.6046511627907,6.976744186046512,1.1627906976744187,73.25581395348837
ALLUEVA,TERUEL,1,2024-07-13,2034-07-13,46.64,230.98,1980,40.98501743514753,-1.0417806246502637,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALMOCHUEL,ZARAGOZA,5,2022-01-19,2032-01-19,56.834,263.064,1944,41.2797121723981,-0.5510870957407471,0.0,0.0,20.0,20.0,40.0,20.0,0.0,0.0,0.0,20.0,20.0,40.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0
ALMOHAJA,TERUEL,1,2023-12-13,2028-12-13,70.95,268.96,1950,40.60547181534495,-1.4379338433991045,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ALMONACID DE LA CUBA,ZARAGOZA,12,2022-05-03,2031-12-04,57.30416666666667,277.5416666666667,1938,41.280351133806136,-0.7922984799457097,0.0,0.0,8.333333333333332,8.333333333333332,75.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,16.666666666666664,58.333333333333336,16.666666666666664,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ALMONACID DE LA SIERRA,ZARAGOZA,85,2022-09-27,2032-06-22,56.91270588235294,272.1001176470588,1964,41.39794387704102,-1.324390084259259,2.3529411764705883,4.705882352941177,7.0588235294117645,21.176470588235293,49.411764705882355,5.88235294117647,9.411764705882353,2.3529411764705883,3.5294117647058822,5.88235294117647,14.117647058823529,55.294117647058826,11.76470588235294,7.0588235294117645,97.6470588235294,1.1764705882352942,1.1764705882352942,0.0,2.3529411764705883,4.705882352941177,3.5294117647058822,2.3529411764705883,87.05882352941177
ALMUDEVAR,HUESCA,234,2022-03-26,2031-10-16,67.30692307692307,315.9553846153846,1961,42.03724439497068,-0.5861840795968567,1.7094017094017095,5.982905982905983,3.418803418803419,18.37606837606838,38.88888888888889,17.52136752136752,14.102564102564102,1.282051282051282,4.273504273504273,5.128205128205128,12.82051282051282,46.58119658119658,12.82051282051282,17.094017094017094,98.29059829059828,0.4273504273504274,0.4273504273504274,0.8547008547008548,0.0,18.37606837606838,2.1367521367521367,2.1367521367521367,77.35042735042735
ALMUNIENTE,HUESCA,25,2022-09-06,2032-06-12,69.0348,294.2816,1957,41.92622837785072,-0.432940119587324,4.0,4.0,4.0,16.0,32.0,24.0,16.0,8.0,0.0,4.0,8.0,44.0,16.0,20.0,100.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,88.0
ALOBRAS,TERUEL,2,2024-12-07,2032-06-07,75.505,312.245,1922,40.18073754148606,-1.38907951669325,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
